City,Covid Cases
Pardi,2130.49841197687
Rahatgarh,1809.47383294452
Panagar,2490.011807829503
Uthiramerur,2297.847589810629
Tirora,2282.9824946884337
Rangiya,2138.547806770733
Sahjanwa,2382.7541255453007
Wara Seoni,2338.0552653714085
Magadi,2646.241184411997
Rajgarh (Alwar),2501.966927382831
Rafiganj,2634.119767865503
Tarana,2306.899327663925
Rampur Maniharan,2426.126595305874
Sheoganj,2136.3505498592885
Raikot,2557.756898582073
Sumerpur,2697.445061081646
Navalgund,2714.412743101483
Shahganj,2224.0778066987477
Marhaura,2753.3594494057256
Tulsipur,2094.084268751337
Sadri,2345.2684504613794
Thiruthuraipoondi,2167.2690953656506
Shiggaon,2413.675081915738
Pallapatti,2642.6829508722058
Mahendragarh,2075.8973435382827
Sausar,2056.579707760352
Ponneri,2508.1036191336425
Mahad,2456.038686907694
Lohardaga,2335.7928424444985
Aluva,2901.838667166865
Tirwaganj,1919.1365765346573
Margherita,2290.643773138452
Tehri,2203.510502794753
Sundarnagar,2447.1144819794295
Rajgarh,2287.568009805903
Mangaldoi,2179.2968406302994
Renigunta,2069.498158481134
Longowal,2301.70159342056
Ratia,2422.7185901517946
Lalgudi,2509.831171919132
Shrirangapattana,2590.517401492943
Niwari,2100.3580842894203
Natham,2369.3622043398163
Unnamalaikadai,2533.2015592179705
Purquazi,2480.272093541943
"Shamsabad, Farrukhabad",2385.0352018908843
Mirganj,2625.840609281032
Todaraisingh,2164.857730132549
Chengannur,2685.8132252591404
Warhapur,2438.3087712811166
Rajam,2197.4888244502495
Urmar Tanda,2075.021291091903
Lonar,2469.046376862762
Powayan,2707.04828470029
vasudevanallur,2457.6844696191947
Palampur,2298.8582138568336
P.N.Patti,2336.966541106342
Srisailam (RFC) Township,2334.5701022002063
Sindagi,2578.4334558792966
Vaikom,2913.60139478425
Sandi,2190.5923198784553
Malda,2676.739898781835
Tharangambadi,2491.387435079482
Sakaleshapura,2153.2395984702516
Malkangiri,2293.0002839501353
Rapar,2347.9715331559873
Mauganj,2065.2020516157427
Todabhim,2354.084152363141
Srinivaspur,2227.3196045623986
Murliganj,2288.84526229113
Reengus,2067.7894377581906
Sawantwadi,2027.9665716074408
Tittakudi,2234.8437121456
Lilong,2675.4129620621466
Rajaldesar,2310.9605525560414
Pathardi,2044.5984538820435
Pacode,2273.401859912054
Achhnera,2028.9291980618427
Naraura,2460.4203460992285
Nakur,1973.2470216087127
Palai,2848.1121130952565
"Morinda, India",2010.9626623987615
Manasa,1849.4307061177678
Nainpur,1887.4838047091152
Sahaspur,2371.627222509353
Pauni,4045.509362789394
Prithvipur,2317.9885334969863
Silapathar,2996.013322342399
Ramtek,10192.84540695074
Songadh,2227.767410409157
Safipur,1931.8448525863646
Sohagpur,2299.9913012889565
Mul,2389.814197139829
Sadulshahar,1977.5630783325523
Phillaur,2468.2278060302533
Sambhar,2412.542507674627
Prantij,2046.8613370439498
Nagla,2111.2287027727057
Pattran,2630.0613993511106
Mount Abu,2387.534762255311
Reoti,2418.6677148851054
Tenu dam-cum-Kathhara,2099.786545319729
Panchla,2233.6661225519947
Pasighat,2629.8493731866893
Motipur,2633.6590954752583
O' Valley,2334.2809522497437
Raghunathpur,2523.182631811432
Suriyampalayam,2586.592570031885
Qadian,2587.764791337567
Silvassa,1896.7801015666184
Nowrozabad (Khodargama),2446.77595074165
Mangrol,2329.0506590274413
Soyagaon,2499.182513290806
Sujanpur,2465.407521804324
Manihari,2377.6355688331814
Sikanderpur,2037.5163558742024
Laksar,2042.1605245206129
Mangalvedhe,2005.752746345462
Ron,2297.749807521988
Phulera,2287.840335921304
Sholavandan,2581.0517599692357
Saidpur,2498.3081603950905
Shamgarh,2517.5433053795127
Thammampatti,2144.3508499483196
Maharajpur,2644.69009490876
Chamoli Gopeshwar,2703.186924066843
Multai,1517.8595633673638
Mukerian,2282.13178863034
Sirsi,2130.6789400063462
Purwa,2091.5853139412334
Sheohar,2249.187368847348
Namagiripettai,2707.5659544018717
Parasi,2419.95512445825
Lathi,2338.5459454719207
Lalganj,2204.8307041917933
Narkhed,2237.5515504437894
Mathabhanga,2734.75430350181
Shendurjana,2546.2403313511118
Peravurani,2216.9861328633124
Mariani,2299.5141500320874
Phulpur,2397.6049849749397
Rania,2078.4346624663754
Pali,1934.8149499728447
Pachore,2337.681208043154
Parangipettai,2335.5486183749013
Pudupattinam,2145.233070938836
Panniyannur,2867.743181990295
Maharajganj,2575.82862446099
Rau,2252.205611998634
Monoharpur,3773.364101792021
Mandawa,2220.5802754411034
Marigaon,2391.4212280833917
Pallikonda,2468.4256887304637
Pindwara,2232.198248912074
Shishgarh,2346.5980090208805
Charthaval,2346.8611204013023
Patur,2463.830279925418
Mayang Imphal,2618.07222231225
Mhowgaon,2473.28599759598
Guruvayoor,2907.3342139480997
Mhaswad,2103.177210135234
Sahawar,2471.728043187365
Sivagiri,2201.7689229321372
Mundargi,2312.8341869391393
Punjaipugalur,2377.4378605021043
Kailasahar,2427.7731624625267
Samthar,2370.90700532092
Sakti,2434.02780907944
Silao,2207.3270476667485
Mandalgarh,2485.2686388835637
Loha,2408.416869270695
"Srinagar, Uttarakhand",2253.312905373611
Pukhrayan,2084.89983984705
Padmanabhapuram,2492.851521731039
Belonia,2341.9100789781246
Bhusawar,2346.691219430355
Saiha,2345.6139704426146
Inkollu,2246.516152445917
Srirampore,2270.482639218882
Talwara,2567.5514860525277
Gadarpur,2440.967991197091
Sarsawa,2521.2270698974007
Puthuppally,2846.2967021601944
Khowai,3001.099592157171
Landhaura,2052.0709641226513
Tanakpur,2396.39798484476
Uttarkashi,2507.0611874866104
Vijaypur,1925.8733572854753
Takhatgarh,2150.5594025239943
Joshimath,2273.2318754257394
Owk,2449.235606034751
Khatima,2194.571801149506
Thirupuvanam,2271.973734647281
Adra,2080.065021836006
Piriyapatna,2609.707281220375
Obra,2246.754432217849
Vikasnagar,2492.2669283413456
Amaravathi,2274.4822897417857
Khanda,2218.1341629249364
Mahua Kheraganj,2363.3464650984915
Talbehat,2187.7076977068054
Adalaj,2223.413201200832
Nandgaon,2245.160653472985
Bagha Kusmar,2371.106443872181
Dineshpur,1904.9536799176603
Jhabrera,1823.6776520303113
Kela Khera,2378.222012551608
Muni Ki Reti,2233.0317329704994
Chhapra,1999.4488305967898
Panamattom,2855.4484364270834
Gavaravaram,2505.0943245806347
Sultanpur,1965.4856459939333
Herbertpur,2590.112693823057
Rudraprayag,2360.312165613587
Niwai,2255.478127207395
Bageshwar,2082.9230637620644
Gochar,2327.048029754141
Doiwala,2343.1446483007453
Tarbha,2405.944749534287
Karnaprayag,2046.4142522468956
Sanivarapupeta,2180.0007202719166
Lohaghat,1926.451673082448
Bhimtal,2345.4846841878634
Lalkuan,2385.0736039446724
Kaladhungi,2238.758049400608
Naura,2010.6441711736468
Mahua Dabra Haripura,2479.2008301974956
Chandpara,8492.07365403626
Dharchula,2378.9860960530173
Adyar,3419.788168278457
Narsinghgarh,2194.032164453058
Barkot,2795.8793166931987
Didihat,2473.4324092000584
Satrampadu,2590.0317898853746
Warud,1875.7149901403218
Asarganj,2591.672464505427
Bhowali,2392.9124902343815
Shaktigarh,2314.1368539908185
Narendranagar,2027.557505463539
Champawat,2150.0479634265503
Sarsod,1953.4398345398586
Bhaiseena,2052.6515662762545
Dwarahat,2138.43017747955
Badrinath,2623.1155706401714
Dogadda,2239.9436824461154
Devprayag,2856.714627964684
Nandaprayag,2355.624390360267
Kirtinagar,2253.4698158792708
Kedarnath,2142.7554153270084
Gangotri,2369.7155266941527
Kumarganj,2033.3020305416612
